,key,Date_Created,Title,Artist,Invite_Spawner,URL
123,866011258_2191803100,2018-05-03,Voice in the dark,"Tsuchiya Miki, Shitaya Norik",OchaLady,https://www.smule.com/recording/tsuchiya-miki-shitaya-norik-voice-in-the-dark/866011258_2191803100
124,866011258_2182139413,2018-04-28,Rainbow Notes,Mermaid Melody,OchaLady,https://www.smule.com/recording/mermaid-melody-rainbow-notes/866011258_2182139413
125,866011258_2182119763,2018-04-28,Kaze no lalala (Detective Conan OST),Mai Kuraki,OchaLady,https://www.smule.com/recording/mai-kuraki-kaze-no-lalala-detective-conan-ost/866011258_2182119763
126,866011258_2170812702,2018-04-24,Mysterious Eyes,GARNET CROW,OchaLady,https://www.smule.com/recording/garnet-crow-mysterious-eyes/866011258_2170812702
127,866011258_2163186282,2018-04-21,Hana to Chou no Serenade,Lanhua,OchaLady,https://www.smule.com/recording/lanhua-hana-to-chou-no-serenade/866011258_2163186282
128,866011258_2158879534,2018-04-19,Courage-SAO (Tv size),Haruka Tomatsu,OchaLady,https://www.smule.com/recording/haruka-tomatsu-courage-sao-tv-size/866011258_2158879534
129,866011258_2132724239,2018-04-08,Yume no Sono Saki He,Mermaid Melody,OchaLady,https://www.smule.com/recording/mermaid-melody-yume-no-sono-saki-he/866011258_2132724239
130,866011258_2132687799,2018-04-08,願い事ひとつだけ /　小松未歩,,OchaLady,https://www.smule.com/recording/%E9%A1%98%E3%81%84%E4%BA%8B%E3%81%B2%E3%81%A8%E3%81%A4%E3%81%A0%E3%81%91-%E5%B0%8F%E6%9D%BE%E6%9C%AA%E6%AD%A9/866011258_2132687799
131,866011258_2066177998,2018-03-11,Lacrimosa (short) Kuroshitsuji,Kalafina,OchaLady,https://www.smule.com/recording/kalafina-lacrimosa-short-kuroshitsuji/866011258_2066177998
132,866011258_2066192544,2018-03-11,Vocaloid,Cantarella,OchaLady,https://www.smule.com/recording/cantarella-vocaloid/866011258_2066192544
133,866011258_2035733037,2018-02-27,Kimi ga Inai Natsu (tv size),Deen,OchaLady,https://www.smule.com/recording/deen-kimi-ga-inai-natsu-tv-size/866011258_2035733037
134,866011258_2024645972,2018-02-22,Secret of my heart -Mai Kuraki-,倉木麻衣 Mai Kuraki,OchaLady,https://www.smule.com/recording/%E5%80%89%E6%9C%A8%E9%BA%BB%E8%A1%A3-mai-kuraki-secret-of-my-heart-mai-kuraki/866011258_2024645972
135,866011258_2024631340,2018-02-22,Aoi Bench,Tegomass,OchaLady,https://www.smule.com/recording/tegomass-aoi-bench/866011258_2024631340
136,866011258_1978186518,2018-02-03,Eine Kleine【Piano Short.】,KenshiYonezu,OchaLady,https://www.smule.com/recording/kenshiyonezu-eine-kleine-piano-short/866011258_1978186518
137,866011258_1978167216,2018-02-03,Mizuiro no Senritsu - Mermaid Melody,Mermaid Melody,OchaLady,https://www.smule.com/recording/mermaid-melody-mizuiro-no-senritsu-mermaid-melody/866011258_1978167216
138,866011258_1868606426,2017-12-20,Legend of Mermaid,,OchaLady,https://www.smule.com/recording/legend-of-mermaid/866011258_1868606426
139,866011258_1846222548,2017-12-11,Freely Tomorrow,VOCALOID,OchaLady,https://www.smule.com/recording/vocaloid-freely-tomorrow/866011258_1846222548
140,866011258_1846198209,2017-12-11,Kizuna,Mermaid Melody: Pichi Pichi Pitch,OchaLady,https://www.smule.com/recording/mermaid-melody-pichi-pichi-pitch-kizuna/866011258_1846198209
141,866011258_1724877756,2017-10-25,from Y to Y,jimmy-thumb-P,OchaLady,https://www.smule.com/recording/jimmy-thumb-p-from-y-to-y/866011258_1724877756
142,866011258_1724674589,2017-10-25,Taiyou no Rakuen [TV-Size],Kanabe Miyuki,OchaLady,https://www.smule.com/recording/kanabe-miyuki-taiyou-no-rakuen-tv-size/866011258_1724674589
143,866011258_1720132996,2017-10-23,Every Heart,Boa,OchaLady,https://www.smule.com/recording/boa-every-heart/866011258_1720132996
144,866011258_1700842831,2017-10-16,I SAY YES (TV Size),ICHIKO / Zero no Tsukaima F (Season 2) OP,OchaLady,https://www.smule.com/recording/ichiko-zero-no-tsukaima-f-season-2-op-i-say-yes-tv-size/866011258_1700842831
145,866011258_1700834410,2017-10-16,Ama no Jaku,164,OchaLady,https://www.smule.com/recording/164-ama-no-jaku/866011258_1700834410
146,866011258_1700814725,2017-10-16,Sekai de Ichiban Hayaku Asaga Kuru Basho,Mermaid Melody,OchaLady,https://www.smule.com/recording/mermaid-melody-sekai-de-ichiban-hayaku-asaga-kuru-basho/866011258_1700814725
147,866011258_1700799316,2017-10-16,光と影のロマン,宇徳敬子,OchaLady,https://www.smule.com/recording/%E5%AE%87%E5%BE%B3%E6%95%AC%E5%AD%90-%E5%85%89%E3%81%A8%E5%BD%B1%E3%81%AE%E3%83%AD%E3%83%9E%E3%83%B3/866011258_1700799316
148,866011258_1687805576,2017-10-11,SAO OP ﾒﾄﾞﾚｰ(Medley),①crossing field②INNOCENCE ③courage ④IGNITE　　　　　sword art online 2 op 1,OchaLady,https://www.smule.com/recording/crossing-field-innocence-courage-ignite-sword-art-online-2-op-1-sao-op-%EF%BE%92%EF%BE%84%EF%BE%9E%EF%BE%9A%EF%BD%B0-medley/866011258_1687805576
149,866011258_1682106989,2017-10-09,Ever Blue,Hanon,OchaLady,https://www.smule.com/recording/hanon-ever-blue/866011258_1682106989
150,866011258_1682082620,2017-10-09,深愛,水樹奈々,OchaLady,https://www.smule.com/recording/%E6%B0%B4%E6%A8%B9%E5%A5%88%E3%80%85-%E6%B7%B1%E6%84%9B/866011258_1682082620
151,866011258_1664129322,2017-10-02,Daiji Na Takarabako,Mermaid Melody: Pichi Pichi Pitch,OchaLady,https://www.smule.com/recording/mermaid-melody-pichi-pichi-pitch-daiji-na-takarabako/866011258_1664129322
152,866011258_1661709237,2017-10-01,Legend of the Mermaid (Slow Ver.),Mermaid Melody,OchaLady,https://www.smule.com/recording/mermaid-melody-legend-of-the-mermaid-slow-ver/866011258_1661709237
153,866011258_1652998583,2017-09-27,from Y to Y [Short ver.],JimmyThumb-P,OchaLady,https://www.smule.com/recording/jimmythumb-p-from-y-to-y-short-ver/866011258_1652998583
154,866011258_1629649385,2017-09-19,SAO- Courage,SAO,OchaLady,https://www.smule.com/recording/sao-sao-courage/866011258_1629649385
155,866011258_1597461016,2017-09-07,Pray (MS Lyrical Nanoha StrikerS),Mizuki Nana,OchaLady,https://www.smule.com/recording/mizuki-nana-pray-ms-lyrical-nanoha-strikers/866011258_1597461016
156,866011258_1576983830,2017-08-30,Utsukushiki Zankoku na Sekai (TV Size),Yoko Hikasa,OchaLady,https://www.smule.com/recording/yoko-hikasa-utsukushiki-zankoku-na-sekai-tv-size/866011258_1576983830
157,866011258_1540801831,2017-08-17,Kanashimi wo Yasashisa ni TV size,Little by Little,OchaLady,https://www.smule.com/recording/little-by-little-kanashimi-wo-yasashisa-ni-tv-size/866011258_1540801831
158,866011258_1540754312,2017-08-17,MASSIVE WONDERS (MS Lyrical Nanoha StrikerS),Mizuki Nana,OchaLady,https://www.smule.com/recording/mizuki-nana-massive-wonders-ms-lyrical-nanoha-strikers/866011258_1540754312
159,866011258_1470819406,2017-07-22,Sarishinohara (Romanji acoustic),MikitoP,OchaLady,https://www.smule.com/recording/mikitop-sarishinohara-romanji-acoustic/866011258_1470819406
160,866011258_1399634476,2017-06-26,Magnet,,OchaLady,https://www.smule.com/recording/magnet/866011258_1399634476
161,866011258_1375936632,2017-06-16,Innocent Starter,Mizuki Nana,OchaLady,https://www.smule.com/recording/mizuki-nana-innocent-starter/866011258_1375936632
162,866011258_1150813974,2017-03-29,Innocence - Eir Aoi,Eir Aoi,OchaLady,https://www.smule.com/recording/eir-aoi-innocence-eir-aoi/866011258_1150813974
163,866011258_1112041612,2017-03-16,ロミオとシンデレラ/doriko/ボカロ,初音ミク,OchaLady,https://www.smule.com/recording/%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF-%E3%83%AD%E3%83%9F%E3%82%AA%E3%81%A8%E3%82%B7%E3%83%B3%E3%83%87%E3%83%AC%E3%83%A9-doriko-%E3%83%9C%E3%82%AB%E3%83%AD/866011258_1112041612
164,866011258_1089420601,2017-03-09,Dearest | 犬夜叉,Ayumi Hamasaki,OchaLady,https://www.smule.com/recording/ayumi-hamasaki-dearest-%E7%8A%AC%E5%A4%9C%E5%8F%89/866011258_1089420601
165,866011258_1077803659,2017-03-05,Level 5 Judgelight,fripside,OchaLady,https://www.smule.com/recording/fripside-level-5-judgelight/866011258_1077803659
166,866011258_1062751149,2017-02-27,SECRET AMBITION [Romaji],Nana Mizuki,OchaLady,https://www.smule.com/recording/nana-mizuki-secret-ambition-romaji/866011258_1062751149
167,866011258_1039961457,2017-02-19,Eternal  Blaze - Nana Mizuki,nana mizuki,OchaLady,https://www.smule.com/recording/nana-mizuki-eternal-blaze-nana-mizuki/866011258_1039961457
168,866011258_1010192006,2017-02-09,Photograph (Acoustic),Ed Sheeran,OchaLady,https://www.smule.com/recording/ed-sheeran-photograph-acoustic/866011258_1010192006
169,866011258_998936196,2017-02-05,Anata ga Koko ni Iru Riyuu - Rie Fu,,OchaLady,https://www.smule.com/recording/anata-ga-koko-ni-iru-riyuu-rie-fu/866011258_998936196
170,866011258_988543101,2017-02-01,Sword Art Online - Crossing Field,Lisa,OchaLady,https://www.smule.com/recording/lisa-sword-art-online-crossing-field/866011258_988543101
171,866011258_972287515,2017-01-26,WAVE,niki,OchaLady,https://www.smule.com/recording/niki-wave/866011258_972287515
172,866011258_964309189,2017-01-23,夢の続きへ/SURFACE,SURFACE,OchaLady,https://www.smule.com/recording/surface-%E5%A4%A2%E3%81%AE%E7%B6%9A%E3%81%8D%E3%81%B8-surface/866011258_964309189
173,866011258_944253352,2017-01-16,PHANTOM MINDS,Mizuki Nana,OchaLady,https://www.smule.com/recording/mizuki-nana-phantom-minds/866011258_944253352
174,866011258_916987642,2017-01-07,Regret,Hoshimura Mai,OchaLady,https://www.smule.com/recording/hoshimura-mai-regret/866011258_916987642
